result_id,event_title,edition,edition_id,sport,result_location
30359,"Super-Heavyweight (>105 kilograms), Men",2004 Summer Olympics,26,Weightlifting,"Olympiako Gymnastirio Arsis Varon Nikaias, Nikaia"
1626,"Giant Slalom, Women1",1998 Winter Olympics,46,Snowboarding,"Mt. Yakebitai, Shiga Kogen, Yamanouchi"
76,"Singles, Men",1976 Winter Olympics,40,Luge,"Kunsteis-Bob- und Rodelbahn, Igls"
962,"1,500 metres, Men",1928 Winter Olympics,30,Speed Skating,"Olympia-Eisstadion Badrutts Park, St. Moritz"
258824,"Canadian Singles, Slalom, Men",2008 Summer Olympics,53,Canoe Slalom,"Shunyi Aolinpike Shuishang Gongyuan, Mapo, Shunyi"
925522,"Singles, Handicap (Class II), Men",1900 Summer Olympics,2,Tennis,"Société des sports de l'île de Puteaux, Puteaux"
58336,"Shot Put, Men",1936 Summer Olympics,11,Athletics,"Olympiastadion, Reichssportfeld, Berlin"
901207,"800 metres Wheelchair, Women",2004 Summer Olympics,26,Athletics,"Olympiako Stadio, Olympiako Athletiko Kentro Athinon Spiros Loues, Maroussi"
923582,"30 kilometres (Mass Start, Classical), Women",2010 Winter Olympics,57,Cross Country Skiing,"Whistler Olympic Park, Whistler"
900038,"Kayak Singles, 800 metres, Men",1924 Summer Olympics,8,Canoe Sprint,"Bassin d'Argenteuil, Paris"
24775,"Light-Heavyweight (?81 kilograms), Men",1976 Summer Olympics,19,Boxing,"Aréna Maurice-Richard, Montréal, Québec"
925729,"220 yards Hurdles, Handicap - AAU Handicap Meet, Men",1904 Summer Olympics,3,Athletics,"Francis Field, Washington University, St. Louis"
350212,"Aerials, Men",2014 Winter Olympics,58,Freestyle Skiing,"Ekstrim-Park Rosa Khutor, Krasnaya Polyana"
124397,"Welterweight, Freestyle (?73 kilograms), Men",1960 Summer Olympics,15,Wrestling,"Basilica di Massenzio, Roma"
64560,"Javelin Throw, Women",1992 Summer Olympics,23,Athletics,"Estadio Olímpico de Montjuïc, Barcelona"
70108,"Rings, Men",1932 Summer Olympics,10,Artistic Gymnastics,"Los Angeles Memorial Coliseum, Los Angeles, California"
920066,"Music, Compositions For Orchestra, Open",1948 Summer Olympics,12,Art Competitions,"Victoria & Albert Museum, London"
21308,"Bantamweight (?118 pounds), Men",1920 Summer Olympics,7,Boxing,"Feestzaal, Koninklijke Zoölogische Maatschappij, Antwerpen"
16634,"Half-Middleweight (?78 kilograms), Men",1988 Summer Olympics,22,Judo,"Jang-chung Che-yuk-gwan, Seoul"
9000909,"Cross, Men",2018 Winter Olympics,60,Snowboarding,"Phoenix Snow Park, Mountain Cluster, Bongpyeong"
86321,"Sabre, Team, Men",1948 Summer Olympics,12,Fencing,"Palace of Engineering, Wembley, London"
259961,"Team All-Around, Men",2008 Summer Olympics,53,Artistic Gymnastics,"Guojia Tiyuguan, Beijing Aolinpike Gongyuan, Beijing"
358794,"Discus Throw, Men",2016 Summer Olympics,59,Athletics,"Estádio Olímpico João Havelange, Engenho de Dentro, Rio de Janeiro"
925839,"220 yards - Olympic Irish Sports, Men",1904 Summer Olympics,3,Athletics,"Francis Field, Washington University, St. Louis"
307037,"Kayak Singles, 1,000 metres, Men",2012 Summer Olympics,54,Canoe Sprint,"Eton Dorney, Windsor"
17825,"Half-Middleweight (?78 kilograms), Men",1996 Summer Olympics,24,Judo,"Georgia World Congress Center, Atlanta, Georgia (Hall H)"
305333,"Heavyweight (?91 kilograms), Men",2012 Summer Olympics,54,Boxing,"ExCeL, Newham, London"
70221,"Parallel Bars, Men",1960 Summer Olympics,15,Artistic Gymnastics,"Terme di Caracalla, Roma"
22107,"Welterweight (?147 pounds), Men",1936 Summer Olympics,11,Boxing,"Deutschlandhalle, Berlin"
70178,"Floor Exercise, Women",1952 Summer Olympics,13,Artistic Gymnastics,"Messuhalli II, Helsinki"
2007,"20 kilometres, Women",1984 Winter Olympics,42,Cross Country Skiing,"Veliko Polje, Igman"
19000438,"110 metres Hurdles, Men",2020 Summer Olympics,61,Athletics,"Japan National Stadium, Kasumigaoka, Shinjuku, Tokyo"
70105,"Horse Vault, Men",1932 Summer Olympics,10,Artistic Gymnastics,"Los Angeles Memorial Coliseum, Los Angeles, California"
155046,"Individual Time Trial, Women",2000 Summer Olympics,25,Cycling Road,"Cycling Road Course, Centennial Parklands, Sydney, New South Wales"
85971,"Sabre, Individual, Men",1948 Summer Olympics,12,Fencing,"Palace of Engineering, Wembley, London"
925682,"2 miles, Handicap - Olympic Open Handicap Meeting, Men",1904 Summer Olympics,3,Athletics,"Francis Field, Washington University, St. Louis"
70451,"Uneven Bars, Women",1976 Summer Olympics,19,Artistic Gymnastics,"Le Forum de Montréal, Montréal, Québec"
19019814,"Curling, Women",2022 Winter Olympics,62,Curling,"Beijing Guojia Youyong Zhongxin, Beijing Aolinpike Gongyuan, Beijing"
1395,"Downhill, Women",1992 Winter Olympics,44,Alpine Skiing,Méribel
1592,"7.5 kilometres Sprint, Women",2002 Winter Olympics,47,Biathlon,"Soldier Hollow, Wasatch Mountain State Park"
925408,"Eights, Boys",1900 Summer Olympics,2,Rowing,"Seine, Pont de Courbevoie – Pont d'Asnières, Paris"
351240,"Team, Women",2016 Summer Olympics,59,Archery,"Sambódromo, Rio de Janeiro"
261390,"Small-Bore Rifle, Prone, 50 metres, Men",2008 Summer Olympics,53,Shooting,"Beijing Shejiguan, Beijing"
56511,"Hammer Throw, Men",1908 Summer Olympics,5,Athletics,"White City Stadium, London"
18001576,"Softball, Women",2020 Summer Olympics,61,Softball,"Yokohama Sutajiamu, Yokohama / Fukushima Azuma Baseball Stadium, Fukushima"
925803,"220 yards - Interscholastic Championships, Boys",1904 Summer Olympics,3,Athletics,"Francis Field, Washington University, St. Louis"
1999,"30 kilometres, Men",1984 Winter Olympics,42,Cross Country Skiing,"Veliko Polje, Igman"
255897,"Kayak Singles, 500 metres, Women",1988 Summer Olympics,22,Canoe Sprint,"Mi-sa-ri Jo-jeong-gyeong-gi-jang, Hanam"
905282,"Aerials, Men",1988 Winter Olympics,43,Freestyle Skiing,"Canada Olympic Park, Calgary (Moguls)"
5241,"100 metres Freestyle, Men",1952 Summer Olympics,13,Swimming,"Helsingin Uimastadion, Helsinki"
1086,"1,500 metres, Men",1994 Winter Olympics,45,Speed Skating,"Olympiahall, Hamar"
43504,"Duet, Women",1984 Summer Olympics,21,Artistic Swimming,"Olympic Swim Stadium, University of Southern California, Los Angeles, California"
157896,"Coxless Pairs, Men",1932 Summer Olympics,10,Rowing,"Long Beach Marine Stadium, Long Beach, California"
33519,"Football, Men",1908 Summer Olympics,5,Football,"White City Stadium, London"
18000130,"Kumite, ?67 kg, Men",2020 Summer Olympics,61,Karate,"Nippon Budokan, Chiyoda, Tokyo"
900533,"Middleweight (?66 kilograms), Women",1988 Summer Olympics,22,Judo,"Jang-chung Che-yuk-gwan, Seoul"
44260,"Doubles, Men",1908 Summer Olympics,5,Tennis,"All-England Lawn Tennis & Croquet Club, Wimbledon"
925094,"Closest landing to target (#3), Combined, Open",1900 Summer Olympics,2,Ballooning,"L'Aérostation, Parc de Vincennes, Paris"
159217,"Coxless Pairs, Men",1992 Summer Olympics,23,Rowing,"Lago de Bañolas, Bañolas"
125850,"Middleweight, Freestyle (?87 kilograms), Men",1968 Summer Olympics,17,Wrestling,"Pista de Hielo Insurgentes, Ciudad de México"
20280,"Ice Hockey, Men",1964 Winter Olympics,37,Ice Hockey,"Olympiaeisstadion, Innsbruck / Kunsteisbahn, Messehalle, Innsbruck"
1215,"Giant Slalom, Men",1960 Winter Olympics,36,Alpine Skiing,"KT-22, Squaw Valley, California"
6666,"100 metres Breaststroke, Women",1976 Summer Olympics,19,Swimming,"Piscine olympique, Montréal, Québec"
926086,"Eights, Intermediate, Men",1904 Summer Olympics,3,Rowing,"Creve Coeur Lake, Maryland Heights"
44116,"Doubles, Men",1904 Summer Olympics,3,Tennis,"Dirt Courts near Francis Field, Washington University, St. Louis"
357717,"Épée, Team, Men",2016 Summer Olympics,59,Fencing,"Arena Carioca 3, Parque Olímpico da Barra, Barra da Tijuca, Rio de Janeiro"
9694,"Two Person Heavyweight Dinghy (Flying Dutchman), Open",1960 Summer Olympics,15,Sailing,Golfo di Napoli (Campo Giallo)
29879,"Super-Heavyweight (>110 kilograms), Men",1984 Summer Olympics,21,Weightlifting,"Albert Gersten Pavilion, Loyola Marymount University, Los Angeles, California, USA"
70109,"Pommelled Horse, Men",1932 Summer Olympics,10,Artistic Gymnastics,"Los Angeles Memorial Coliseum, Los Angeles, California"
154433,"Team Pursuit, 4,000 metres, Men",1980 Summer Olympics,20,Cycling Track,"Velotrek, Sportivny kompleks Krylatskoye, Moskva"
158768,"Coxed Fours, Women",1976 Summer Olympics,19,Rowing,"Bassin olympique, Île Notre Dame, Montréal, Québec"
4816,"100 metres Backstroke, Women",1924 Summer Olympics,8,Swimming,"Piscine des Tourelles, Saint-Mandé"
901110,"Finweight (? 43 kilograms), Women",1992 Summer Olympics,23,Taekwondo,"Palau Blaugrana, Barcelona"
1856,"Moguls, Men",2002 Winter Olympics,47,Freestyle Skiing,"Deer Valley Resort, Deer Valley, Utah"
356798,"Team Sprint, Men",2016 Summer Olympics,59,Cycling Track,"Velódromo Olímpico do Rio, Parque Olímpico da Barra, Barra da Tijuca, Rio de Janeiro"
7457,"50 metres Freestyle, Women",1988 Summer Olympics,22,Swimming,"Su-yeong-jang, Ol-lim-pik Gong-won, Seoul"
1504,"Giant Slalom, Women",2006 Winter Olympics,49,Alpine Skiing,Sestriere Colle (Sises)
263087,"Lightweight (?58 kilograms), Women",2008 Summer Olympics,53,Weightlifting,"Beijing Hangkong Hangtian Daxue Tiyuguan, Beijing"
19019868,"Doubles, Mixed",2022 Winter Olympics,62,Curling,"Beijing Guojia Youyong Zhongxin, Beijing Aolinpike Gongyuan, Beijing"
65610,"Decathlon, Men",2000 Summer Olympics,25,Athletics,"Olympic Stadium, Olympic Park, Sydney, New South Wales"
261351,"Skiff (49er), Open",2008 Summer Olympics,53,Sailing,"Qingdao Aolinpike Fanchuan Zhongxin, Qingdao"
74111,"Foil, Individual, Men",1924 Summer Olympics,8,Fencing,"Vélodrome d'Hiver, Paris"
109764,"Foil, Team, Men",1988 Summer Olympics,22,Fencing,"Pen-sing Gyeong-ji-jang, Ol-lim-pik Gong-won, Seoul"
255454,"Kayak Singles, 1,000 metres, Men",1976 Summer Olympics,19,Canoe Sprint,"Bassin olympique, Île Notre Dame, Montréal, Québec"
925123,"100 kilometres, Professionals, Men",1900 Summer Olympics,2,Cycling Track,"Vélodrome Municipal de Vincennes, Paris"
2148,"4 × 10 kilometres Relay, Men",2006 Winter Olympics,49,Cross Country Skiing,"Stadio del Trampolino, Pragelato Plan"
1503,"Super G, Women1",2006 Winter Olympics,49,Alpine Skiing,San Sicario Fraìteve (Fraiteve Olympique)
1657,"Halfpipe, Men",2002 Winter Olympics,47,Snowboarding,"Park City Mountain Resort, Park City, Utah"
13332,"Pairs, Mixed",1972 Winter Olympics,39,Figure Skating,"Makomanai Indoor Skating Rink, Sapporo"
21892,"Featherweight (?126 pounds), Men",1932 Summer Olympics,10,Boxing,"Grand Olympic Auditorium, Los Angeles, California"
308072,"Team Pursuit, 3,000 metres, Women",2012 Summer Olympics,54,Cycling Track,"Velodrome, London Velopark, Olympic Park, Stratford, London"
2403,"Large Hill, Individual, Men",1980 Winter Olympics,41,Ski Jumping,"Intervale Ski Jump Complex, Lake Placid"
905194,"Giant Slalom, LW4, Men",1984 Winter Olympics,42,Alpine Skiing,Jahorina
9000298,"10 kilometres (Freestyle), Women",2018 Winter Olympics,60,Cross Country Skiing,"Alpensia Cross-Country Centre, Alpensia Resort, Mountain Cluster, Daegwallyeong"
920063,"Literature, Epic Works, Open",1948 Summer Olympics,12,Art Competitions,"Victoria & Albert Museum, London"
128710,"Heavyweight, Greco-Roman (?100 kilograms), Men",1980 Summer Olympics,20,Wrestling,"Legkoatletichesky manezh, Legkoatletichesky Futbolny Kompleks CSKA, Moskva"
302038,"Long Jump, Men",2012 Summer Olympics,54,Athletics,"Olympic Stadium, Olympic Park, Stratford, London"
61115,"110 metres Hurdles, Men",1972 Summer Olympics,18,Athletics,"Olympiastadion, Olympiapark, München"
1122,"500 metres, Men",2006 Winter Olympics,49,Speed Skating,"Oval Lingotto, Torino"
62056,"High Jump, Women",1976 Summer Olympics,19,Athletics,"Stade olympique, Parc olympique, Montréal, Québec"
58127,"4 x 100 metres Relay, Women",1932 Summer Olympics,10,Athletics,"Los Angeles Memorial Coliseum, Los Angeles, California"
924312,"Moguls, Women",2010 Winter Olympics,57,Freestyle Skiing,"Cypress Mountain, West Vancouver"
5756,"4 x 100 metres Medley Relay, Men",1964 Summer Olympics,16,Swimming,"Kokuritsu Yoyogi Kyogijo, Shibuya, Tokyo"
1056,"1,000 metres, Men",1984 Winter Olympics,42,Speed Skating,"Pista za brzo klizanje Zetra, Sarajevo"
905273,"Giant Slalom, LW2, Men",1988 Winter Olympics,43,Alpine Skiing,"Canada Olympic Park, Calgary (Recreational Ski Hill)"
7205,"200 metres Butterfly, Women",1984 Summer Olympics,21,Swimming,"Olympic Swim Stadium, University of Southern California, Los Angeles, California"
925767,"High Jump - AAU Championship, Men",1904 Summer Olympics,3,Athletics,"Francis Field, Washington University, St. Louis"
355220,"Featherweight, Freestyle (?57 kilograms), Men",2016 Summer Olympics,59,Wrestling,"Arena Carioca 2, Parque Olímpico da Barra, Barra da Tijuca, Rio de Janeiro"
23312,"Flyweight (?51 kilograms), Men",1964 Summer Olympics,16,Boxing,"Korakuen Horu, Bunkyo, Tokyo"
159427,"Eights, Men",1996 Summer Olympics,24,Rowing,"Lake Sidney Lanier, Gainesville, Georgia"
21558,"Welterweight (?147 pounds), Men",1924 Summer Olympics,8,Boxing,"Vélodrome d'Hiver, Paris"
19020400,"500 metres, Men",2022 Winter Olympics,62,Speed Skating,"National Speed Skating Oval, Olympic Green, Beijing"
358460,"Hockey, Men",2016 Summer Olympics,59,Hockey,"Centro Olímpico de Hóquei, Parque Olímpico de Deodoro, Deodoro, Rio de Janeiro"
322289,"100 metres Butterfly, Men",2012 Summer Olympics,54,Swimming,"London Aquatics Centre, Olympic Park, Stratford, London"
923480,"10 kilometres Sprint, Men",2010 Winter Olympics,57,Biathlon,"Whistler Olympic Park, Whistler"
354335,"Middle-Heavyweight (?94 kilograms), Men",2016 Summer Olympics,59,Weightlifting,"Riocentro Pavilhão 2, Parque Olímpico da Barra, Barra da Tijuca, Rio de Janeiro"
110989,"Sabre, Team, Men",1988 Summer Olympics,22,Fencing,"Pen-sing Gyeong-ji-jang, Ol-lim-pik Gong-won, Seoul"
64934,"Javelin Throw, Men",1996 Summer Olympics,24,Athletics,"Centennial Olympic Stadium, Atlanta, Georgia"
51590,"Free Pistol, 50 metres, Men",1920 Summer Olympics,7,Shooting,"Kamp Beverlo, Beverlo"
46903,"Singles, Women",1988 Summer Olympics,22,Table Tennis,"Che-yuk-gwan, Seo-ul Dae-hak-gyo, Seoul"
925875,"440 yards - Western AAU Championship, Men",1904 Summer Olympics,3,Athletics,"Francis Field, Washington University, St. Louis"
900073,"Baseball (Game #1), Men",1964 Summer Olympics,16,Baseball,"Meiji Jingu Yakyujo, Shinjuku, Tokyo / Meiji Jingu Yakyujo, Shinjuku, Tokyo"
154547,"Team Pursuit, 4,000 metres, Men",1984 Summer Olympics,21,Cycling Track,"Olympic Velodrome, California State University at Dominguez Hills, Carson, California"
45037,"Singles, Men",1988 Summer Olympics,22,Tennis,"Te-ni-seu-jang, Ol-lim-pik Gong-won, Seoul"
19001895,"BMX, Women",2020 Summer Olympics,61,Cycling BMX Racing,"Ariake Urban Sports Park, Koto, Tokyo"
